tower,name,tile,latitude,longitude
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",17TNK,44.3167,-79.9333
PR-xGU,NEON Guanica Forest (GUAN),19QGV,17.9696,-66.8687
PR-xLA,NEON Lajas Experimental Station (LAJA),19QFV,18.0212,-67.0769
US-CF1,CAF-LTAR Cook East,11TMM,46.7815,-117.0821
US-CF2,CAF-LTAR Cook West,11TMM,46.784,-117.0908
US-CF3,CAF-LTAR Boyd North,11TMM,46.7551,-117.1261
US-CF4,CAF-LTAR Boyd South,11TMM,46.7518,-117.1285
US-DFC,"US Dairy Forage Research Center, Prairie du Sac",15TYJ,43.3448,-89.7117
US-Ha2,Harvard Forest Hemlock Site,18TYN,42.5393,-72.1779
US-KM4,KBS Marshall Farms Smooth Brome Grass (Ref),16TFN,42.4423,-85.3301
US-Los,Lost Creek,15TYM,46.0827,-89.9792
US-Me6,Metolius Young Pine Burn,10TFQ,44.3233,-121.6078
US-Mpj,Mountainair Pinyon-Juniper Woodland,13SCU,34.4385,-106.2377
US-NC2,NC_Loblolly Plantation,18SUE,35.803,-76.6685
US-NC3,NC_Clearcut#3,18SUE,35.799,-76.656
US-NC4,NC_AlligatorRiver,18SVE,35.7879,-75.9038
US-NR3,Niwot Ridge Alpine (T-Van West),13TDE,40.052,-105.5864
US-ONA,Florida pine flatwoods,17RML,27.3836,-81.9509
US-PFd,NW3 Tussock-1 CHEESEHEAD 2019,15TYL,45.9689,-90.301
US-PFi,NE3 Hardwood-1 CHEESEHEAD 2019,15TYL,45.9749,-90.2327
US-PFq,SE3 Aspen-4 CHEESEHEAD 2019,15TYL,45.9271,-90.2475
US-PHM,Plum Island High Marsh,19TCH,42.7423,-70.8301
US-Ro4,Rosemount Prairie,15TVK,44.6781,-93.0723
US-Syv,Sylvania Wilderness Area,15TYM,46.242,-89.3477
US-UC1,LTAR UCB (Upper Chesapeake Bay) EC1,17TQF,40.7536,-78.0056
US-UC2,LTAR UCB (Upper Chesapeake Bay) EC2,17TQF,40.7559,-77.9998
US-UMB,Univ. of Mich. Biological Station,16TFR,45.5598,-84.7138
US-UMd,UMBS Disturbance,16TFR,45.5625,-84.6975
US-Vcp,Valles Caldera Ponderosa Pine,13SCV,35.8642,-106.5967
US-WCr,Willow Creek,15TYL,45.8059,-90.0799
US-xAB,NEON Abby Road (ABBY),10TER,45.7624,-122.3303
US-xBL,NEON Blandy Experimental Farm (BLAN),17SQD,39.0603,-78.0716
US-xDL,NEON Dead Lake (DELA),16SDB,32.5417,-87.8039
US-xJE,NEON Jones Ecological Research Center (JERC),16RGV,31.1948,-84.4686
US-xML,NEON Mountain Lake Biological Station (MLBS),17SNB,37.3783,-80.5248
US-xNW,NEON Niwot Ridge Mountain Research Station (NIWO),13TDE,40.0543,-105.5824
US-xRM,"NEON Rocky Mountain National Park, CASTNET (RMNP)",13TDE,40.2759,-105.5459
US-xST,NEON Steigerwaldt Land Services (STEI),15TYL,45.5089,-89.5864
US-xTR,NEON Treehaven (TREE),15TYL,45.4937,-89.5857
US-xUK,NEON The University of Kansas Field Station (UKFS),15SUD,39.0404,-95.1921
US-xUN,NEON University of Notre Dame Environmental Research Center (UNDE),15TYM,46.2339,-89.5373
US-xYE,NEON Yellowstone Northern Range (Frog Rock) (YELL),12TWQ,44.9535,-110.5391
